"Strain","ColonyID","Size","MinorAxisLength","Eccentricity","MeanIntensity","Radius","Type","PlateNumber","Date"
"WT_37",30,819,31.7927123652585,0.250714299175054,0.486009829405722,16.1460768233192,3,"1","G"
"WT_37",31,732,28.3360353443716,0.535260005233525,0.473935410854181,15.2644304409478,3,"1","G"
"WT_37",32,694,27.0131497994863,0.597533298574407,0.468980639001422,14.86294254216,3,"1","G"
"WT_37",33,1194,38.7264208121104,0.177517980525685,0.489540176321062,19.4951789964454,3,"1","G"
"WT_37",34,1027,35.9556249336198,0.155863250033503,0.481134265865434,18.0804937186669,3,"1","G"
"WT_37",35,742,29.9541870418852,0.343278834268515,0.479250277456522,15.3683419908711,3,"1","G"
"WT_37",36,1128,37.5002133787231,0.209090493917078,0.490159899259948,18.9487084418785,3,"1","G"
"WT_37",37,669,26.2075259847406,0.640110294063649,0.478229179186858,14.5927829373617,3,"1","G"
"WT_37",38,824,30.0679212908901,0.544149703810134,0.476164285916406,16.195287778099,3,"1","G"
"WT_37",39,1000,35.3842457309321,0.191623118679112,0.491837920843321,17.8412411615277,3,"1","G"
"WT_37",40,978,33.9867567803637,0.376926322392631,0.493183413836145,17.6438960744997,3,"1","G"
"WT_37",41,1047,36.4143432334726,0.115500103259527,0.485753872836148,18.2556963941239,3,"1","G"
"WT_37",42,1063,36.2871223758097,0.236976748596189,0.497400810396328,18.3946570778955,3,"1","G"
"WT_37",43,1374,41.0437180975317,0.273172353464125,0.506068876177861,20.9131007652268,3,"1","G"
"WT_37",44,962,34.5378066041739,0.232608944211972,0.49565474153143,17.498974555922,3,"1","G"
"WT_37",45,994,35.3528784942202,0.164228416617899,0.487117340675125,17.7876369106941,3,"1","G"
"WT_37",46,648,23.8120652270519,0.733157868348374,0.488185324827352,14.3619220944516,3,"1","G"
"WT_37",47,975,34.6254152406915,0.266582903394244,0.493826981745646,17.6168140998648,3,"1","G"
"WT_37",48,969,34.5650479436403,0.256635736784357,0.484872031843096,17.5625248672306,3,"1","G"
"WT_37",49,1045,36.3143849883429,0.142667647872777,0.497511569428037,18.2382518642018,3,"1","G"
